sentiment,text,user,,,
negative,RT @MINSUGAHQ: 👤+ and people abroad wait in line to receive surgery from him. \n\n* the doctor also joked he was afraid that ARMYs all around…,mysunshineyjj,,,
negative,@agrothedragon1 This is the worst I've seen,unhappy_dragon,,,
neutral,@Imrahul19Gupta @SelfHiraeth @MrsGandhi Bhai agar mamta banerjee bhi aa jaye toh UP me BJP ko nhi hra payegi..kauns… https://t.co/pDXLIhQyI7,VeCToRFieLD11,,,
negative,Constant complainers are constantly unhappy. 2230,shbupoezchbg,,,
positive,RT @YashwantSinha: Modi thinks the foreign media will also behave like the godi media in India. First time he is facing criticism from it f…,dranitsingh,,,
positive,RT @YashwantSinha: Modi thinks the foreign media will also behave like the godi media in India. First time he is facing criticism from it f…,ghanshyam_mpm,,,
neutral,@narendramodi only middle  uppercase class is   with BJP  muslim   reserve class against bjp bengal election shows… https://t.co/affMR2K0du,Cpgupta70214255,,,
negative,RT @robroballen: MPs unhappy that youth custody chief failed to declare interest in company running failing secure training centre. https:/…,supportforallUK,,,
negative,"avoid unhappy people, avoid me.",Biggings6,,,
negative,"@hardheadedniko \Our finest moments are most likely to occur when we are feeling deeply uncomfortable unhappy on un… https://t.co/gaV4IUX5xg""",jedpontiac,,,
negative,I will die unhappy if Ruto will not lead this nation.\nRuto Hamo Tanzania https://t.co/2r3LUTdL5q,KoomeMapesa,,,
negative,RT @MailSport: Man United's largest sponsor Adidas unhappy with club over falling shirt sales https://t.co/3UGhWQcjvL,Kosironu1,,,
negative,RT @LIVEpositivity: Unhappy people do these things often. Do you know someone like this?\n\nhttps://t.co/IwiZ5b3Yo8,Nohea_Gonzalez,,,
negative,@AndersonK_1 @Mr_4teen @luhya_sauce @allarick_ @LadenKip @ItsDemosh @evanss_ke Na ako unhappy😆🚮,supreme254_,,,
positive,RT @YashwantSinha: Modi thinks the foreign media will also behave like the godi media in India. First time he is facing criticism from it f…,DurgvanshiNSR,,,
positive,RT @YashwantSinha: Modi thinks the foreign media will also behave like the godi media in India. First time he is facing criticism from it f…,AanchlSharma,,,
negative,"RT @90sGoldHoesssss: Today I quit my full time job to pursue my dream of doing makeup full time. I’m tired of being unhappy, depressed and…",noel_gabby,,,
negative,@SandeepLaw Assembly results are going as I forecasted. Only die hard supporters were unhappy when I tweeted my mind.,budbukbum1,,,
negative,I’m gonna die unhappy and alone,anticonejito,,,
negative,"RT @ThouArtPhi: changed up how my bimbosona looks cause I was pretty unhappy with it, Went back to the weird fluffy hair I used to do https…",Dual_Shadow,,,
negative,oh my god i am so unhappy with the current circumstances in my life!!!!,DRUGZILL4,,,
negative,RT @Cantona_Collars: I have no right to tell anyone how to spend their hard earned money but would it be too much of a sacrifice to skip bu…,DerbySingh,,,
neutral,"RT @Gubyad_Snehal: Conversely, Hindu Dharma guides on God-realisation, meaning, obtaining eternal Bliss;  Hence,  those  who  abide  by  Hi…",ManoharlalU,,,
neutral,ggすぎた\nチャット泣いた；；,unhappy_kuro,,,
neutral,AWTS PAIN PIGHATI LUMBAY HINAGPIS SAKIT PAGTANGIS IYAK LUNGKOT SIPHAYO DALAMHATI AFFLICTION AGONY ANGUISH DISTRESS… https://t.co/8wfVrkFZ7d,killuascart,,,
negative,"Don't go searching for problems. \n\nIf you're unhappy, leave! @ Sharon, Pennsylvania https://t.co/qKzWsw50Dk",WadeMasseyShow,,,
negative,RT @Excellion: BREAKING: Dinosaurs unhappy about impending asteroid strike.  https://t.co/gHIVtOkaFZ,family_guy_arne,,,
negative,RT @Excellion: BREAKING: Dinosaurs unhappy about impending asteroid strike.  https://t.co/gHIVtOkaFZ,crypto_mrc12,,,
negative,RT @Excellion: BREAKING: Dinosaurs unhappy about impending asteroid strike.  https://t.co/gHIVtOkaFZ,LinaSeiche,,,
neutral,@HDFCBank_Cares @HDFC_Bank \nI am following the customer care since last 2 months for refund but in every response g… https://t.co/JOLMsmagCh,ag_abhi,,,
negative,@imdoomer people who manage to be rich and unhappy dont know how to spend money,silverlovesme,,,
negative,RT @MINSUGAHQ: 👤+ and people abroad wait in line to receive surgery from him. \n\n* the doctor also joked he was afraid that ARMYs all around…,Bloomlightt,,,
negative,RT @MailSport: Man United's largest sponsor Adidas unhappy with club over falling shirt sales https://t.co/3UGhWQcjvL,Lawrence_KC,,,
negative,@imrejele @danthat Do you get lots of ads targeting unhappy tweeters? Dissatisfied with your social media provider?… https://t.co/ORQcGVrvld,prolixative,,,
negative,I’m homely and awkward and odd and you’d be ashamed of me and we would quarrel - we can’t help it even now! - I’d h… https://t.co/XUTESzYsBM,swirlyg1rl,,,
negative,why make money and be unhappy when I can make nothing and be unhappy but at least have a creative outlet,georgiastar03,,,
negative,i SUDDENLY remembered that i never finished my room omg that’s why i’m unhappy rn hahaha and now that i’ve become a… https://t.co/offlAnWIfC,grabbiehannda,,,
positive,RT @YashwantSinha: Modi thinks the foreign media will also behave like the godi media in India. First time he is facing criticism from it f…,pmg987,,,
positive,"RT @andersleijersta: It is not looking good for Macron! \n\nThe French public support an incendiary open letter warning of \civil war\"" and mi…""",jpinckston,,,
positive,RT @YashwantSinha: Modi thinks the foreign media will also behave like the godi media in India. First time he is facing criticism from it f…,Kawal654,,,
negative,RT @MailSport: Man United's largest sponsor Adidas unhappy with club over falling shirt sales https://t.co/IJAdgNOXQD,Lawrence_KC,,,
positive,RT @YashwantSinha: Modi thinks the foreign media will also behave like the godi media in India. First time he is facing criticism from it f…,sharmaanup123,,,
negative,RT @MINSUGAHQ: 👤+ and people abroad wait in line to receive surgery from him. \n\n* the doctor also joked he was afraid that ARMYs all around…,sugatakemymoney,,,
positive,"RT @GillianPaters14: @Dr2NisreenAlwan If a person makes you more unhappy than happy, cut them loose. I’m talking kindness, caring, wanting…",DudeSigmund,,,
neutral,その他求めているもの💖&gt;💕 https://t.co/G7hSfArSGS,mmm_shh_UNHAPPY,,,
negative,"@Zizezkianism Karnataka will also be slipping from their hand , people are unhappy with the governance especially the poor",nero_lowkey,,,
negative,"If you are ever unhappy, I would like to help . https://t.co/k4bzeazrL5",DAMAGEDIDOL,,,
neutral,"RT @Mayham_H: Selvi Zuranci, the make up artist who worked in Hercai in the beginning of season 3 said:\n\We never saw Akın harm anyone. He…""",hercai_lover_,,,
positive,RT @YashwantSinha: Modi thinks the foreign media will also behave like the godi media in India. First time he is facing criticism from it f…,Karanhema2012,,,
negative,"RT @Fact: Research shows that being continuously sleep-deprived makes you dumb, irritable, distracted, unhappy, and fat.",iamthegoodfella,,,
positive,RT @_hxsnx_: ALHAMDULILLAH for the roof we have over our heads...\n\nFor the food we have for iftar. \n\nFor the clean water we have to quench…,_hxsnx_,,,
positive,RT @Mr_Friend_Zone: Sometimes it’s more important to get to where your buddy wants to get to then to eat. \n\nI’ll give up a restaurant meal…,TheHumanBot12,,,
neutral,"RT @aasif: 🇮🇳 @WCKitchen has started deliveries to hospitals in Mumbai, India! They'll be distributing meals 7 days a week in overcrowded h…",svensson_ida,,,
neutral,Napapaisip na tuloy ako Kung dapat ko na un-install food panda.\nNagiging gutumin ako masyado 😂😂,JodelynLipata,,,
neutral,It’s been two months since I had any street food I want to |]!€,nhandpotatoes,,,
neutral,"@FOOD_FESS Download tiktok lite di playstore, trs daftar, trs masukin kode ini A9207749669. Nanti dapet koin 100rb… https://t.co/zWnCfTUJyu",Calanghee,,,
neutral,"RT @NRC_Egeland: It's 6 months today since conflict in Tigray, Ethiopia, broke out. \n\nViolence has displaced 1 million. \n62,000 refugees.…",MatGeorgis,,,
neutral,"RT @YourAnonNewsESP: (2) The government plans to create a strategy to block roads to prevent food from entering cities such as Cali, Medell…",LARGOLEITER,,,
positive,"RT @ezraklein: So earlier today, in a thread about why it's great that Eleven Madison Park is going plant-based, I said being vegan comes a…",cjcorliss,,,
positive,RT @ThalaivarVeriy8: #அம்மாஉணவகம்காப்போம்\n\nJob opportunities for thousands of women\nHigh quality food for very cheap prices\nMillions of peo…,Ashwin_AIADMK,,,
neutral,The U.K with the support of the U.S illegally retains 31 tons of gold belonging to VENEZUELA valued at more than on… https://t.co/lLB0thaYZQ,PrincesaRaza,,,
positive,"Happy Birthday Trisha Mam lot of love 🤗😘 @trishtrashers \nDistribution of food to the poor people in Mylapore, Chenn… https://t.co/xNknI1BIJY",PoornimaTrisha,,,
neutral,The U.K with the support of the U.S illegally retains 31 tons of gold belonging to VENEZUELA valued at more than on… https://t.co/VSAta3h7On,PrincesaRaza,,,
neutral,The U.K with the support of the U.S illegally retains 31 tons of gold belonging to VENEZUELA valued at more than on… https://t.co/z8dhkJTOe0,PrincesaRaza,,,
neutral,The U.K with the support of the U.S illegally retains 31 tons of gold belonging to VENEZUELA valued at more than on… https://t.co/CYNJ2668IG,PrincesaRaza,,,
neutral,The U.K with the support of the U.S illegally retains 31 tons of gold belonging to VENEZUELA valued at more than on… https://t.co/AeNhZ28NFm,PrincesaRaza,,,
neutral,The U.K with the support of the U.S illegally retains 31 tons of gold belonging to VENEZUELA valued at more than on… https://t.co/ON5TC1z1PT,PrincesaRaza,,,
neutral,Going to fill Phoenix with lots of food today because his jabs are at 4:00pm which is just before dinner time so if… https://t.co/qTr5IAcs6q,Her_EvilQueen,,,
positive,The Kenya Bureau of Standards has adopted five new standards to boost the safety and quality of food additives in t… https://t.co/TaWL4zRmCu,OliverMathenge,,,
positive,"RT @AsianetNewsEN: WATCH: Inside a new #Covid19 facility in Koramangala, #Bengaluru - arranged by UN-affiliated international non-profit Un…",krsnaaaaaa,,,
positive,RT @ghiblipicture: Food in Ghibli looks so good https://t.co/hcUSnijXFr,dynaquits,,,
negative,Kidding on we don’t like the food no more to save the walk of shame 😂,rossgreig1,,,
positive,Last night @KaylowOfficial handled the 🎶 entertainment for an intimate dinner party reintroducing @BisquitAfrica as… https://t.co/aioFrXAofA,DumaCollective,,,
neutral,RT @Steve54712762: @Ottojizzmark @cazzacaz63 And how upset and peed orf did the government get when UNICEF were caught feeding starving chi…,cernusson,,,
neutral,"RT @ETRetail: FMCG cos not looking at price hikes amid fragile demand: Mayank Shah, Parle #Fmcg #Demand #ParleFmcgCompanies #ParleProducts…",FoodmfgUK,,,
neutral,33. cw // food https://t.co/UEVEfqHDw2,bearsinar,,,
neutral,@Rachel_Raine_ That's deep. Food for thought.\nThank you!,EmmyBenedict1,,,
positive,Aaaand the whole squad together \nDrawing weird cartoonish food is my special pleasure https://t.co/rM1t5wGaOJ,yurich_draws,,,
neutral,RT @animexvisual: Anime food. https://t.co/QEJvIEa9M4,cathchuuu,,,
negative,RT @nazirafzal: Remember how we were rightly disgusted by corrupt developing countries with leaders\nWho enrich themselves\nHave gaudy decor…,OzzyEyre,,,
negative,"@RedRadiantRuby @GrissRiv @lulashotmailcom @VP And its not  about being Mr knowledge , even the most stupid human b… https://t.co/mMNGqy1YQe",TonyQuijano6,,,
neutral,https://t.co/yllJyjaO5I,food_forensics,,,
negative,"RT @TheWiseMogul: @Rich_Cooper Every broken relationship for a woman is like a scar on her mind. \n\nThis is because, in the ancestral past,…",ab8708,,,
positive,"RT @kluhkierra: y'all told fast food workers that their jobs were for teenagers and that if they wanted a livable wage, they should quit an…",harleyhilfiger,,,
positive,RT @pb07cheema: High Spirits against Cheap ego!\n\nNo Farmer No Food!\n#कृषि_कानून_रद्द_करने_पड़ेंगे https://t.co/DvEYfP7YSY,Harpree35352180,,,
positive,"Pleased to announce that:\nThe Head of Division of Agriculture &amp; Food Security at the African Union (AU),… https://t.co/5ILySo5NG0",ThankGod_Ebenez,,,
positive,"RT @maha_tourism: Traditional Maharashtrian Dal recipe - slightly sweet, slightly sour and full of flavour! A bowl of amti with some plain…",mrAviPatidar10,,,
neutral,"RT @YourAnonNewsESP: (2) The government plans to create a strategy to block roads to prevent food from entering cities such as Cali, Medell…",itsmfgr_,,,
neutral,"RT @piargh: even panadol pun ada orang alergik teruk, kenapa kita tak banned je panadol? sama je konsep nya. takyah nak buat vaksin macam r…",feet3_330,,,
positive,"@kate_degerdon I'll vote for starmer... On the day that Accrington Stanley wins the champions league, on the day th… https://t.co/v4ALSy2UMw",JohnQuinlan,,,
neutral,@legendhari1 no come my side if you no carry food,signor_martini,,,
neutral,RT @FeministasBu: #Feministas denuncian a esta caravana ubicada en  #Zaragoza promovida por la entidad antiabortista RedMadre.\n\nCon perform…,rubitaharta,,,
neutral,dems can not be what Food Production or CDW Corporation have.,trumpeter_bot,,,
negative,"RT @Ezrazzzz: Rare blood clot sebab vaccine takut, makan fatty food, oily food hari² yg boleh cause atherosclerosis tak takut. Tu lg common…",AimanKhadari,,,
negative,real friends make u food when you’re fucked up 😹😹 shout out my bro for making a Jamaican patty  for me at 3am real brother shit 😭😂😂,avgeldvst,,,
positive,TEDxMasala - Dr Vandana Shiva - Solutions to the food and ecological cri... https://t.co/VdZxjd2V4P via @YouTube,parekh_time,,,
positive,Thanks @LincolnshireCF for helping provide funds for this project. Willingness to try and to consume veg at this ag… https://t.co/KhlZQ07xlD,tastedfeed,,,
negative,would it be weird if i ate cat food to go to sleep?,346nya_bot,,,
positive,"RT @loverbythesea: @Hi_Goldenness [TRANS] Hello Goldenness, congrats on being 3!!It’s been 3 years already. Thank you for always supporting…",joojjyanim,,,
neutral,@tripureshwari1 What about food pics😬,_Lisa_Supremacy,,,
positive,"Happening now: It's on!\n@Barbara55688197 and @MurugiJ attending, 'Becoming The PLEDGE™ on FOOD WASTE' \n💃💃… https://t.co/vF7pYMrXnm",tierranjani,,,
neutral,"RT @komaljb: What about majority of our population who cannot send 🆘, who have no friends to amplify messages, who don’t have money to get…",StrivingHuman,,,
negative,#TigrayGenocide Six months today \n\n⁃70K CIVILIANS KILLED\n⁃2.3M CHILDREN NEEDING ASSISTANCE\n⁃4.5M IN DIRE NEED OF EM… https://t.co/PXiJquD8Ma,zittokabwe,,,
negative,"RT @TheWeeklyBull: Given the huge housing crisis, it seems insane that this building, seen today, is still vacant 3 years after @streetskit…",SenseiChanning,,,
positive,RT @ClubDaphnia: クラブダフニア早くも2周年！！\n5/15(SAT)に周年パーティやります！\nまだまだ若い店ですが祝いに来てください！よろしくお願いします！！\n\nLive&amp;DJ\nBING\nDJ NOBI\nSobriety\nTorei\nYPY\n \nVFX\ncatc…,osakawise,,,
positive,RT @the_mpr: #அம்மாஉணவகம்காப்போம்\n\nJob opportunities for thousands of women\nHigh quality food for very cheap prices\nMillions of people(stud…,Rajiv81157274,,,
neutral,RT @animescenario: Anime food details https://t.co/rW88fMxSKT,tkzvvvvv,,,
positive,"RT @zakrirezwan: Hi guys, memandangkan ramai yg suggest for selling new food, for this week, im taking order for our new homemade strawberr…",rmzznddn,,,
positive,"Kirby has to save his food for later, he's on a busy scheduele!.",kirbyplotbot,,,
positive,"RT @ssnpa1: #VIZAG FREE FOOD SERVICE\nSruthi Meals Service.\n9154023674, 6301636821\nOnly LUNCH Free of Cost.\nNo calls .\nOnly Text them in wha…",phy626,,,
positive,"RT @corpbizhq: FSSAI registration - Basic , State , Central now Easy as not like before . \nWhy wait to start food business in Mumbai ??\nCon…",tanniyasingh,,,
negative,hey! I don’t know who needs to hear this but...buy that fucking food and EAT IT YOU DESERVE IT,graceshiim,,,
positive,"RT @kluhkierra: y'all told fast food workers that their jobs were for teenagers and that if they wanted a livable wage, they should quit an…",dawndrell,,,
neutral,"RT @303lasagna: A camp of 400 residents is getting swept this week, come do some community care!\n\nBring/make food to 14th &amp; Logan @ 3:30 &amp;…",Im_Magdalene,,,
neutral,"@AlexandraJAlva4 @daviddomingosa2 Si, en eso estuve metido hace algun tiempo, big food es otro factor a tener en cuenta seguro.",ignatiuskdick,,,
neutral,RT @milkbobae: [NSFW warning] wifeluc for udon!!! 😘 you deserve food on your birthday🎂💓\n \nhttps://t.co/lYs6ULDlZ2 https://t.co/bgXmJBMI1q,aneovi_,,,
negative,Too tired after eating ...bed tym n too hungry after waking up...food tym again ..!!!! \nChala alsipothuna 😂,GundaSreelekha,,,
neutral,#Bitcoin is Brain Food\n🧠🧠🧠,CuredSausage,,,
negative,"&gt; he instructed brgy captains to give food in secret\nParang Secret Santanas, ganern?\n\nSo ang dudumugin ng mga tao,… https://t.co/PYr64ZLyG4",HeySyao,,,
positive,RT @coaimpaul: Confirmation that a new Royal yacht costing at £200 million is to be commissioned ‘within weeks’. 14m people in UK are livin…,StecEng22,,,
neutral,Although I knew he had #Corona I had no idea Saenchai had been hospitalised by it. 😲\nFood for thought if it can bri… https://t.co/DTO971D53K,mickhowarth,,,
neutral,"@Iam_Mubility They are an agent of the elite, so they can be tracked to be given food and arms supplies but cannot… https://t.co/X0UC0Tz6CE",AdamZubyr,,,
positive,"Regulatory changes, food fraud and the ongoing effects of COVID-19 are the primary causes of supply chain disruptio… https://t.co/ShnfztKf0l",HyperHygiene,,,
positive,RT @ChloeStrk: Pourquoi on a pas de @Wendys en France? C’est tellement le meilleur fast food 😌,emeline_rs,,,
neutral,RT @karume____: Please give my mom all your catering gigs. She makes bombass food https://t.co/1JNynKxnRt,arnoldbush,,,
neutral,"RT @CartwheelPrint: ‘control of local food production by local people, agroecology, and farming systems that respect nature.’ #auspol",GMWatch,,,
positive,RT @thatEsselguy: Imagine your waakye plug dey take this water prepare the food\nAre we safe??? Chale #FixTheCountry https://t.co/BvB8t4QR8v,anangrhoda,,,
negative,"RT @Ezrazzzz: Rare blood clot sebab vaccine takut, makan fatty food, oily food hari² yg boleh cause atherosclerosis tak takut. Tu lg common…",misturGob,,,
neutral,@food_porn17 Só queria ter paciência para fazer a massa,mohamed_marta,,,
positive,"RT @Sani__UtD: Eating the Same Food for 27years? Bill Gate really try cos after 2 Weeks, I wana flip the Menu😬😬🏃🏻‍♂️🔥",UglySoul__,,,
neutral,"@TeniEntertainer Enu gbe ooooo Ma😓😓😓, just a token inorder for me to get food on the table for my mum and sisters🙏🙏… https://t.co/AFrs7Za5P7",jimohidowu97,,,
positive,"@thbhugs i'm  good,  sitting   on  the  floor   because   i  can't  sit  anywhere else (literally)  and  i'm  gonna… https://t.co/fw2rDYGlQu",404vlogs,,,
negative,RT @JasonClareMP: There is Rent Crisis is Regional Australia.  \n\nIn Cooma it’s really bad. Almost nothing to rent and rents are going throu…,008moonside,,,
negative,RT @PabloRochat: 1.5 hours left to bid on my Fried Chicken Dog on @withFND 🚨🐶🚨https://t.co/mliI98WvS7 https://t.co/k8flGNYd2P,mobyuz,,,
neutral,The vastness that is country pub food. Yikes. https://t.co/ynkfwXNijJ,Monocotyledon,,,
neutral,RT @BritishSave: 👉Meat and seafood paying highest price for Brexit deal. Pressure  growing to lighten paperwork.\n\n👉 🇩🇪 biz used to 🇬🇧 suppl…,jimmytheplant,,,
positive,RT @the_mpr: #அம்மாஉணவகம்காப்போம்\n\nJob opportunities for thousands of women\nHigh quality food for very cheap prices\nMillions of people(stud…,deltavendhan8,,,
positive,"RT @Bunny_danikkkk: Ooohhh wait, when actor kang daniel is finally confirmed, danity then have to save more money for sending food trucks o…",hanamymie,,,
neutral,@Taurusbtch_ Phish food by ben and jerry,baby_hydra,,,
positive,"@NBCNews please retweet. Mauritania is facing acute humanitarian needs, including high levels of food insecurity (o… https://t.co/oRVohI5yTN",emozik,,,
neutral,"RT @DublinLive: With all the talk about May 10, you may have forgotten that some big changes are happening today too\nhttps://t.co/hw4Q7TAgbj",Eire353,,,
negative,@WafflesAndTitz I’m watching little kids fuck up making them joints on the food network right now 😂,JakeManUP,,,
positive,"I'd hype up a stripper like I was at a baseball game.\n\n\Yeah Stardust! Shake that beautiful ass &amp; get that bag! Woo… https://t.co/Rsvvc0ifKy""",Al_Burrito_,,,
positive,"@TAEYONlE I know, right! I had a really fun time (and don’t forget the delicious food) the last time I visited, it’… https://t.co/Y2kqECxJw1",Sejreongie,,,
negative,"RT @abelofearth: I work at a grocery store in dc that had a power outage for a few hours earlier, so we are throwing out alot of food. If a…",EmojiPapi,,,
positive,RT @JoshLachkovic: Hear me explain all about @thewinelist_uk &amp; By The Glass on the excellent @hoxtonradio food and drink show.\n\nWith @thepr…,thewinelist_uk,,,
neutral,On Thursday 6 May at 5pm CEST the Catalyst 2030 Food Security &amp; Agriculture group will discuss the relationship bet… https://t.co/K366AOJfkO,wasafiriconsult,,,
negative,RT @thabiso_25: What does this mean when you dream about your ex and there’s food ?,Thato_Rachidi,,,
neutral,RT @milkbobae: [NSFW warning] wifeluc for udon!!! 😘 you deserve food on your birthday🎂💓\n \nhttps://t.co/lYs6ULDlZ2 https://t.co/bgXmJBMI1q,s___c88,,,
positive,"@NPR please retweet. Mauritania is facing acute humanitarian needs, including high levels of food insecurity (over… https://t.co/6rxESyQUos",emozik,,,
positive,@klwzn yeah don’t worry about it ^^ good luck with school!,rurusaysstuff,,,
negative,Without connection your days in school will be waste #FixTheCountry #FixGhana #BlackTuesday,_sabiboi,,,
negative,"RT @odoridango: thank you @/tinuvhiel for helping to fuel this impromptu gofushi!! \n\nEmpty Honors\ngofushi, 4k+, G\n\n- megumi graduates from…",kcmunguia,,,
positive,RT @MarkMeadows: There needs to be a full investigation of the CDC over letting teachers’ unions orchestrate anti-science school closures.…,glorod3,,,
neutral,i miss school for two days and it feels like i skipped one season of a kdrama,changm1ns,,,
neutral,@tewarilalit1 @goelgauravbjp @TwitterIndia @KanganaTeam @Twitter That's why one need to go to school.,HrushX,,,
positive,French is already a living hell for non binary people and the gouvernment litterally wants to ban gender-inclusive… https://t.co/uSZbD7MEbZ,xTerra_Madre,,,
positive,People need to stop pushing the Gojo wasn't a good *parental* figure for Megumi growing up lol he was literally a h… https://t.co/6Ez0BdhRgC,ObiwanChanObie,,,
positive,"weee:kloud 📂\n : EP.30 Follow us to the showcase, Catch up!\nToday’s video is about our first activity at March 17th… https://t.co/I4ovW1l1jq",jihawnie,,,
neutral,"RT @mguyethebe_: O tlogele R30 ko ntlong o re o tlo reka sphatlho ka yona after school, o kreye “life after matric” a rekile data ka yona😭😭…",SamL17401277,,,
negative,JIHAN MC!!! 🧡 it's so bad that I'm at school rn and I'm not gonna watch  T-T https://t.co/QvESfeRuAK,haui_im,,,
neutral,RT @coinbase: Tether (USDT) is launching at https://t.co/bCG11KMQ6s and in the iOS and Android apps within the next 15 minutes. You may nee…,Kiliman_School,,,
positive,(2 of 2)...'well attended career fair and interactive activities across the whole school which was really great.\n\nT… https://t.co/YsPXFNaoRE,careerconedu,,,
positive,RT @SoumyajitWrites: BJP even lost in Dilip Ghosh’s booth. He voted in Kuliana Jr High School in Gopiballavpur-2. His house is in that area…,katizzcool,,,
negative,"RT @gufydox: If someone had told me film production is an expensive career before you are set up, then I would have just enrolled for Med s…",maktejah_,,,
neutral,RT @PHE_uk: The latest round of our Schools Infection Survey (SIS) suggests a reduction in the percentage of secondary school pupils and st…,PerthshireMags,,,
negative,Yangon: Students from No.(2) High School Mingaladon condemning &amp; rejecting Education under Military Regime. One pla… https://t.co/uKBGZaPHke,YaminAu42936995,,,
negative,RT @gyaigyimii: All Black Tomorrow To Work and School. #BlackTuesday,i_am_gkd1,,,
neutral,RT @maraorozco21: yo: fvck school\n\nyo tambn: *entrega todo*,leo_cubos,,,
negative,RT @gabrieloguda: The guy who teargassed children of poor people who refused to let him grab their school land is coming up with an economi…,Lenard76792874,,,
neutral,RT @Itz_Kwakwa: School resumes today and none of my students are yet in school. I went around and I was told some have gone for fishing oth…,DJSammyTugah,,,
neutral,"Way to go, Rabia! School him. \n#thedrum",JL_Whitaker,,,
positive,ISRO Offers Free Online Courses on Space Technology for School Teachers that Can be Completed in Five Days\n read mo… https://t.co/lU0FsHENbr,ulektznews,,,
neutral,"@ThumbGuardsNZ @HedgeBuddies 😂 mind you I was up at 6.30 this morning, couldn't sleep so dropped a parcel off at my… https://t.co/i8PfB7brI8",NaturaEmporium,,,
positive,"RT @itsafronomics: When we talk about why becoming a billionaire shouldn't be a thing, this is what we mean. \n\nA divorce should not determi…",thedewjosh,,,
neutral,Someone pls bring me on a date during raya’s school holiday😭My deadass felt jealous au😭😭😭,babyjudyyy,,,
neutral,"RT @wonuloml: “i miss scoups” “i miss jeonghan” “i miss joshua” “i miss jun” “i miss hoshi” \i miss wonwoo\"" \""i miss woozi\"" \""i miss the8\"" \""i…""",victoriapscdr,,,
negative,"RT @gyaigyimii: We are wearing Black Tomorrow for Ghana 🇬🇭🇬🇭. Wear black to school, work, town. All black for Ghana 🖤🖤#FixTheCountry",odoteye,,,
neutral,"RT @wick_22: So like, crowded school classrooms and the like? #vaccinateteachers #COVID19AB #COVIDisAirborne #essentialworkers",belairek,,,
neutral,@miriamszalata @bosmana @WaVerbrugghe Ik weet niet of die vraag gesteld is. Die mevrouw zegt weet het niet. Weet ze… https://t.co/oSj2JIeFlY,LMijjer,,,
negative,RT @preshdeyforyou: I say “fuck school” then finish my assignments quickly cause I’m afraid of failure 😭🤣,notmenomore_,,,
negative,RT @preshdeyforyou: I say “fuck school” then finish my assignments quickly cause I’m afraid of failure 😭🤣,SkyyKaylaa,,,
positive,"RT @netballni: Alert 🚨 New coach education and development programme❗️For school teachers, club or community netball coaches working with c…",ACoachcarter,,,
positive,RT @iaindocherty: Shining star: Royal Conservatoire of Scotland named third best performing arts school in the world | HeraldScotland https…,Clamjamfried,,,
neutral,i'll be ia the rest of the day cause of school acts and health reasons :( bye,PR0DMIN,,,
positive,RT @AnaMardoll: I genuinely believe a lot of our school system is designed to break children in for capitalism.,LiamKillingly,,,
neutral,RT @GabbyDarko: I miss the NDC in power. Those times when every year petrol prices went up by 25%. When electricity &amp; water prices also did…,ghudskulkid,,,
positive,RT @thetaeprint: [TRANS] Taehyung’s name was used as an example in problem solving questions in an elementary school math workbook \n\nQ1. Ta…,kthflwry,,,
negative,school sucks,izZlino,,,
positive,@/FlyzFN_  is the dumbest clown ive seen hes legit the definition of 11 year olds who should focus on school more than fortnite omg,samisnice94,,,
positive,RT @YWCACanberra: 👏🌈Wow! Look at this collage the young people from our Charles Conder school age care service made! Thank you for sharing…,caseyhseabrook,,,
neutral,Someone from our school got covid but we still dont know if the school is closing or not.. 🤥,DNIrinne,,,
negative,RT @preshdeyforyou: I say “fuck school” then finish my assignments quickly cause I’m afraid of failure 😭🤣,alxmg_,,,
negative,RT @youaremylight19: สวัสดีค่ะ ตอนนี้พวกเรา@lovelovebkpp กำลังทำแคมเปญเกี่ยวกับโรงเรียนสอนคนตาบอต The Bangkok School for blind เราจะนำเงินไ…,2001x_,,,
neutral,RT @Ste_gOsH930: Yuju in school uniform❤ https://t.co/sPYJSKHmT5,Johayo10,,,
neutral,RT @DrDani15: Are you a graduate student (any discipline) at school in the United States? Please consider following the attached link to co…,jkscientists,,,
neutral,school starts again next week so i have to go back tomorrow for 2 covid test bc i go to school in another country🤙… https://t.co/p5NIrihVRx,joonswifeu10,,,
neutral,"RT @KrishSaluja91: We all know that 12th boards are not the only exam in life it is just a symbol that our school is over, so why govt is t…",Vikram68778936,,,
neutral,kaya gusto ko na din lumipat ng school baka madamay pag aaral ko at gusto ko ng grumaduate.,taenatubol,,,
negative,"RT @GerrySimpsonHRW: After 7 months of soldiers and fighters occupying or destroying schools &amp; health facilities in #Tigray, @SavetheChildr…",meleybh,,,
positive,@ChickenLickenSA That Taxi box was everything when we went to school trips yei it was very important,Thato_oh,,,
positive,"The military council charged a high school teacher from Hakha, Chin State with 505 (a) yesterday.… https://t.co/baJIQgMKmx",HtetHte74657826,,,
positive,@KatKitKaitlyn Welcome Kaitlyn! I started writing last year during quarantine. I am working on drafting &amp; revising… https://t.co/NysC1oZep3,ShannonDGile,,,
neutral,Animation movie 'The King of Pigs' by Dir. Yeon Sang Ho (Train To Busan; Peninsula) in plans to be made into a TVin… https://t.co/fB9azSil5c,kdrama_news,,,
neutral,i need jihan and daehwi to do after school challenge,sproutwwoong,,,
